# Assembly name:  hs38d1
# Description:    Decoy version 1 for GRCh38
# Organism name:  Homo sapiens (human)
# Isolate:  Pool of 254 public SGDP samples
# Sex:  pooled male and female
# Taxid:          9606
# BioSample:      SAMN03200031
# BioProject:     PRJNA267742
# Submitter:      Harvard Medical School
# Date:           2014-12-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: partial
# Assembly method: fermi2 v. r167
# Expected final version: No
# Genome coverage: 30.0x
# Sequencing technology: Illumina HiSeq short-insert PCR-free
# Excluded from RefSeq: partial
# GenBank assembly accession: GCA_000786075.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000786095.2		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
decoy00747	unplaced-scaffold	na	na	JTFH01000580.1	<>	na	Primary Assembly	1423	na
decoy00748	unplaced-scaffold	na	na	JTFH01000581.1	<>	na	Primary Assembly	1423	na
decoy00749	unplaced-scaffold	na	na	JTFH01000582.1	<>	na	Primary Assembly	1414	na
decoy00750	unplaced-scaffold	na	na	JTFH01000583.1	<>	na	Primary Assembly	1414	na
decoy00751	unplaced-scaffold	na	na	JTFH01000584.1	<>	na	Primary Assembly	1413	na
decoy00752	unplaced-scaffold	na	na	JTFH01000585.1	<>	na	Primary Assembly	1413	na
decoy00754	unplaced-scaffold	na	na	JTFH01000586.1	<>	na	Primary Assembly	1410	na
decoy00755	unplaced-scaffold	na	na	JTFH01000587.1	<>	na	Primary Assembly	1409	na
decoy00756	unplaced-scaffold	na	na	JTFH01000588.1	<>	na	Primary Assembly	1409	na
decoy00758	unplaced-scaffold	na	na	JTFH01000589.1	<>	na	Primary Assembly	1406	na
decoy00759	unplaced-scaffold	na	na	JTFH01000590.1	<>	na	Primary Assembly	1405	na
decoy00760	unplaced-scaffold	na	na	JTFH01000591.1	<>	na	Primary Assembly	1405	na
decoy00761	unplaced-scaffold	na	na	JTFH01000592.1	<>	na	Primary Assembly	1404	na
decoy00762	unplaced-scaffold	na	na	JTFH01000593.1	<>	na	Primary Assembly	1404	na
decoy00763	unplaced-scaffold	na	na	JTFH01000594.1	<>	na	Primary Assembly	1402	na
decoy00764	unplaced-scaffold	na	na	JTFH01000595.1	<>	na	Primary Assembly	1402	na
decoy00765	unplaced-scaffold	na	na	JTFH01000596.1	<>	na	Primary Assembly	1402	na
decoy00766	unplaced-scaffold	na	na	JTFH01000597.1	<>	na	Primary Assembly	1402	na
decoy00767	unplaced-scaffold	na	na	JTFH01000598.1	<>	na	Primary Assembly	1400	na
decoy00768	unplaced-scaffold	na	na	JTFH01000599.1	<>	na	Primary Assembly	1398	na
decoy00769	unplaced-scaffold	na	na	JTFH01000600.1	<>	na	Primary Assembly	1396	na
decoy00770	unplaced-scaffold	na	na	JTFH01000601.1	<>	na	Primary Assembly	1395	na
decoy00771	unplaced-scaffold	na	na	JTFH01000602.1	<>	na	Primary Assembly	1394	na
decoy00772	unplaced-scaffold	na	na	JTFH01000603.1	<>	na	Primary Assembly	1393	na
decoy00774	unplaced-scaffold	na	na	JTFH01000604.1	<>	na	Primary Assembly	1391	na
decoy00775	unplaced-scaffold	na	na	JTFH01000605.1	<>	na	Primary Assembly	1389	na
decoy00776	unplaced-scaffold	na	na	JTFH01000606.1	<>	na	Primary Assembly	1389	na
decoy00777	unplaced-scaffold	na	na	JTFH01000607.1	<>	na	Primary Assembly	1388	na
decoy00778	unplaced-scaffold	na	na	JTFH01000608.1	<>	na	Primary Assembly	1387	na
decoy00779	unplaced-scaffold	na	na	JTFH01000609.1	<>	na	Primary Assembly	1384	na
decoy00781	unplaced-scaffold	na	na	JTFH01000610.1	<>	na	Primary Assembly	1381	na
decoy00782	unplaced-scaffold	na	na	JTFH01000611.1	<>	na	Primary Assembly	1381	na
decoy00783	unplaced-scaffold	na	na	JTFH01000612.1	<>	na	Primary Assembly	1379	na
decoy00784	unplaced-scaffold	na	na	JTFH01000613.1	<>	na	Primary Assembly	1377	na
decoy00785	unplaced-scaffold	na	na	JTFH01000614.1	<>	na	Primary Assembly	1376	na
decoy00786	unplaced-scaffold	na	na	JTFH01000615.1	<>	na	Primary Assembly	1376	na
decoy00787	unplaced-scaffold	na	na	JTFH01000616.1	<>	na	Primary Assembly	1375	na
decoy00788	unplaced-scaffold	na	na	JTFH01000617.1	<>	na	Primary Assembly	1374	na
decoy00789	unplaced-scaffold	na	na	JTFH01000618.1	<>	na	Primary Assembly	1372	na
decoy00790	unplaced-scaffold	na	na	JTFH01000619.1	<>	na	Primary Assembly	1371	na
decoy00791	unplaced-scaffold	na	na	JTFH01000620.1	<>	na	Primary Assembly	1370	na
decoy00792	unplaced-scaffold	na	na	JTFH01000621.1	<>	na	Primary Assembly	1370	na
decoy00793	unplaced-scaffold	na	na	JTFH01000622.1	<>	na	Primary Assembly	1366	na
decoy00794	unplaced-scaffold	na	na	JTFH01000623.1	<>	na	Primary Assembly	1363	na
decoy00795	unplaced-scaffold	na	na	JTFH01000624.1	<>	na	Primary Assembly	1360	na
decoy00796	unplaced-scaffold	na	na	JTFH01000625.1	<>	na	Primary Assembly	1356	na
decoy00797	unplaced-scaffold	na	na	JTFH01000626.1	<>	na	Primary Assembly	1355	na
decoy00798	unplaced-scaffold	na	na	JTFH01000627.1	<>	na	Primary Assembly	1355	na
decoy00799	unplaced-scaffold	na	na	JTFH01000628.1	<>	na	Primary Assembly	1352	na
decoy00800	unplaced-scaffold	na	na	JTFH01000629.1	<>	na	Primary Assembly	1345	na
decoy00801	unplaced-scaffold	na	na	JTFH01000630.1	<>	na	Primary Assembly	1344	na
decoy00802	unplaced-scaffold	na	na	JTFH01000631.1	<>	na	Primary Assembly	1344	na
decoy00803	unplaced-scaffold	na	na	JTFH01000632.1	<>	na	Primary Assembly	1342	na
decoy00804	unplaced-scaffold	na	na	JTFH01000633.1	<>	na	Primary Assembly	1342	na
decoy00806	unplaced-scaffold	na	na	JTFH01000634.1	<>	na	Primary Assembly	1336	na
decoy00807	unplaced-scaffold	na	na	JTFH01000635.1	<>	na	Primary Assembly	1334	na
decoy00808	unplaced-scaffold	na	na	JTFH01000636.1	<>	na	Primary Assembly	1334	na
decoy00809	unplaced-scaffold	na	na	JTFH01000637.1	<>	na	Primary Assembly	1333	na
decoy00810	unplaced-scaffold	na	na	JTFH01000638.1	<>	na	Primary Assembly	1332	na
decoy00814	unplaced-scaffold	na	na	JTFH01000639.1	<>	na	Primary Assembly	1328	na
decoy00815	unplaced-scaffold	na	na	JTFH01000640.1	<>	na	Primary Assembly	1328	na
decoy00816	unplaced-scaffold	na	na	JTFH01000641.1	<>	na	Primary Assembly	1328	na
decoy00817	unplaced-scaffold	na	na	JTFH01000642.1	<>	na	Primary Assembly	1327	na
decoy00818	unplaced-scaffold	na	na	JTFH01000643.1	<>	na	Primary Assembly	1325	na
decoy00819	unplaced-scaffold	na	na	JTFH01000644.1	<>	na	Primary Assembly	1322	na
decoy00820	unplaced-scaffold	na	na	JTFH01000645.1	<>	na	Primary Assembly	1320	na
decoy00821	unplaced-scaffold	na	na	JTFH01000646.1	<>	na	Primary Assembly	1319	na
decoy00822	unplaced-scaffold	na	na	JTFH01000647.1	<>	na	Primary Assembly	1318	na
decoy00823	unplaced-scaffold	na	na	JTFH01000648.1	<>	na	Primary Assembly	1315	na
decoy00824	unplaced-scaffold	na	na	JTFH01000649.1	<>	na	Primary Assembly	1314	na
decoy00825	unplaced-scaffold	na	na	JTFH01000650.1	<>	na	Primary Assembly	1313	na
decoy00826	unplaced-scaffold	na	na	JTFH01000651.1	<>	na	Primary Assembly	1313	na
decoy00827	unplaced-scaffold	na	na	JTFH01000652.1	<>	na	Primary Assembly	1312	na
decoy00829	unplaced-scaffold	na	na	JTFH01000653.1	<>	na	Primary Assembly	1310	na
decoy00830	unplaced-scaffold	na	na	JTFH01000654.1	<>	na	Primary Assembly	1309	na
decoy00831	unplaced-scaffold	na	na	JTFH01000655.1	<>	na	Primary Assembly	1309	na
decoy00833	unplaced-scaffold	na	na	JTFH01000656.1	<>	na	Primary Assembly	1307	na
decoy00834	unplaced-scaffold	na	na	JTFH01000657.1	<>	na	Primary Assembly	1307	na
decoy00835	unplaced-scaffold	na	na	JTFH01000658.1	<>	na	Primary Assembly	1305	na
decoy00836	unplaced-scaffold	na	na	JTFH01000659.1	<>	na	Primary Assembly	1304	na
decoy00837	unplaced-scaffold	na	na	JTFH01000660.1	<>	na	Primary Assembly	1303	na
decoy00838	unplaced-scaffold	na	na	JTFH01000661.1	<>	na	Primary Assembly	1302	na
decoy00839	unplaced-scaffold	na	na	JTFH01000662.1	<>	na	Primary Assembly	1302	na
decoy00840	unplaced-scaffold	na	na	JTFH01000663.1	<>	na	Primary Assembly	1301	na
decoy00841	unplaced-scaffold	na	na	JTFH01000664.1	<>	na	Primary Assembly	1301	na
decoy00842	unplaced-scaffold	na	na	JTFH01000665.1	<>	na	Primary Assembly	1300	na
decoy00843	unplaced-scaffold	na	na	JTFH01000666.1	<>	na	Primary Assembly	1299	na
decoy00844	unplaced-scaffold	na	na	JTFH01000667.1	<>	na	Primary Assembly	1297	na
decoy00846	unplaced-scaffold	na	na	JTFH01000668.1	<>	na	Primary Assembly	1295	na
decoy00847	unplaced-scaffold	na	na	JTFH01000669.1	<>	na	Primary Assembly	1294	na
decoy00849	unplaced-scaffold	na	na	JTFH01000670.1	<>	na	Primary Assembly	1293	na
decoy00850	unplaced-scaffold	na	na	JTFH01000671.1	<>	na	Primary Assembly	1291	na
decoy00851	unplaced-scaffold	na	na	JTFH01000672.1	<>	na	Primary Assembly	1291	na
decoy00852	unplaced-scaffold	na	na	JTFH01000673.1	<>	na	Primary Assembly	1289	na
decoy00853	unplaced-scaffold	na	na	JTFH01000674.1	<>	na	Primary Assembly	1288	na
decoy00854	unplaced-scaffold	na	na	JTFH01000675.1	<>	na	Primary Assembly	1288	na
decoy00855	unplaced-scaffold	na	na	JTFH01000676.1	<>	na	Primary Assembly	1287	na
decoy00856	unplaced-scaffold	na	na	JTFH01000677.1	<>	na	Primary Assembly	1287	na
decoy00857	unplaced-scaffold	na	na	JTFH01000678.1	<>	na	Primary Assembly	1287	na
decoy00858	unplaced-scaffold	na	na	JTFH01000679.1	<>	na	Primary Assembly	1286	na
decoy00859	unplaced-scaffold	na	na	JTFH01000680.1	<>	na	Primary Assembly	1283	na
decoy00860	unplaced-scaffold	na	na	JTFH01000681.1	<>	na	Primary Assembly	1281	na
decoy00862	unplaced-scaffold	na	na	JTFH01000682.1	<>	na	Primary Assembly	1277	na
decoy00864	unplaced-scaffold	na	na	JTFH01000683.1	<>	na	Primary Assembly	1274	na
decoy00866	unplaced-scaffold	na	na	JTFH01000684.1	<>	na	Primary Assembly	1270	na
decoy00868	unplaced-scaffold	na	na	JTFH01000685.1	<>	na	Primary Assembly	1267	na
decoy00869	unplaced-scaffold	na	na	JTFH01000686.1	<>	na	Primary Assembly	1266	na
decoy00871	unplaced-scaffold	na	na	JTFH01000687.1	<>	na	Primary Assembly	1260	na
decoy00872	unplaced-scaffold	na	na	JTFH01000688.1	<>	na	Primary Assembly	1259	na
decoy00873	unplaced-scaffold	na	na	JTFH01000689.1	<>	na	Primary Assembly	1258	na
decoy00874	unplaced-scaffold	na	na	JTFH01000690.1	<>	na	Primary Assembly	1258	na
decoy00875	unplaced-scaffold	na	na	JTFH01000691.1	<>	na	Primary Assembly	1258	na
decoy00876	unplaced-scaffold	na	na	JTFH01000692.1	<>	na	Primary Assembly	1256	na
decoy00877	unplaced-scaffold	na	na	JTFH01000693.1	<>	na	Primary Assembly	1255	na
decoy00878	unplaced-scaffold	na	na	JTFH01000694.1	<>	na	Primary Assembly	1254	na
decoy00879	unplaced-scaffold	na	na	JTFH01000695.1	<>	na	Primary Assembly	1254	na
decoy00880	unplaced-scaffold	na	na	JTFH01000696.1	<>	na	Primary Assembly	1253	na
decoy00881	unplaced-scaffold	na	na	JTFH01000697.1	<>	na	Primary Assembly	1250	na
decoy00882	unplaced-scaffold	na	na	JTFH01000698.1	<>	na	Primary Assembly	1249	na
decoy00883	unplaced-scaffold	na	na	JTFH01000699.1	<>	na	Primary Assembly	1248	na
decoy00884	unplaced-scaffold	na	na	JTFH01000700.1	<>	na	Primary Assembly	1248	na
decoy00885	unplaced-scaffold	na	na	JTFH01000701.1	<>	na	Primary Assembly	1247	na
decoy00888	unplaced-scaffold	na	na	JTFH01000702.1	<>	na	Primary Assembly	1242	na
decoy00889	unplaced-scaffold	na	na	JTFH01000703.1	<>	na	Primary Assembly	1242	na
decoy00890	unplaced-scaffold	na	na	JTFH01000704.1	<>	na	Primary Assembly	1241	na
decoy00891	unplaced-scaffold	na	na	JTFH01000705.1	<>	na	Primary Assembly	1241	na
decoy00892	unplaced-scaffold	na	na	JTFH01000706.1	<>	na	Primary Assembly	1241	na
decoy00893	unplaced-scaffold	na	na	JTFH01000707.1	<>	na	Primary Assembly	1239	na
decoy00894	unplaced-scaffold	na	na	JTFH01000708.1	<>	na	Primary Assembly	1238	na
decoy00896	unplaced-scaffold	na	na	JTFH01000709.1	<>	na	Primary Assembly	1237	na
decoy00897	unplaced-scaffold	na	na	JTFH01000710.1	<>	na	Primary Assembly	1236	na
decoy00898	unplaced-scaffold	na	na	JTFH01000711.1	<>	na	Primary Assembly	1235	na
decoy00899	unplaced-scaffold	na	na	JTFH01000712.1	<>	na	Primary Assembly	1234	na
decoy00900	unplaced-scaffold	na	na	JTFH01000713.1	<>	na	Primary Assembly	1234	na
decoy00901	unplaced-scaffold	na	na	JTFH01000714.1	<>	na	Primary Assembly	1234	na
decoy00902	unplaced-scaffold	na	na	JTFH01000715.1	<>	na	Primary Assembly	1233	na
decoy00903	unplaced-scaffold	na	na	JTFH01000716.1	<>	na	Primary Assembly	1232	na
decoy00904	unplaced-scaffold	na	na	JTFH01000717.1	<>	na	Primary Assembly	1232	na
decoy00905	unplaced-scaffold	na	na	JTFH01000718.1	<>	na	Primary Assembly	1231	na
decoy00906	unplaced-scaffold	na	na	JTFH01000719.1	<>	na	Primary Assembly	1230	na
decoy00907	unplaced-scaffold	na	na	JTFH01000720.1	<>	na	Primary Assembly	1228	na
decoy00909	unplaced-scaffold	na	na	JTFH01000721.1	<>	na	Primary Assembly	1227	na
decoy00910	unplaced-scaffold	na	na	JTFH01000722.1	<>	na	Primary Assembly	1227	na
decoy00912	unplaced-scaffold	na	na	JTFH01000723.1	<>	na	Primary Assembly	1226	na
decoy00914	unplaced-scaffold	na	na	JTFH01000724.1	<>	na	Primary Assembly	1224	na
decoy00915	unplaced-scaffold	na	na	JTFH01000725.1	<>	na	Primary Assembly	1224	na
decoy00916	unplaced-scaffold	na	na	JTFH01000726.1	<>	na	Primary Assembly	1220	na
decoy00917	unplaced-scaffold	na	na	JTFH01000727.1	<>	na	Primary Assembly	1220	na
decoy00918	unplaced-scaffold	na	na	JTFH01000728.1	<>	na	Primary Assembly	1219	na
decoy00919	unplaced-scaffold	na	na	JTFH01000729.1	<>	na	Primary Assembly	1217	na
decoy00920	unplaced-scaffold	na	na	JTFH01000730.1	<>	na	Primary Assembly	1216	na
decoy00921	unplaced-scaffold	na	na	JTFH01000731.1	<>	na	Primary Assembly	1215	na
decoy00922	unplaced-scaffold	na	na	JTFH01000732.1	<>	na	Primary Assembly	1214	na
decoy00923	unplaced-scaffold	na	na	JTFH01000733.1	<>	na	Primary Assembly	1214	na
decoy00924	unplaced-scaffold	na	na	JTFH01000734.1	<>	na	Primary Assembly	1214	na
decoy00925	unplaced-scaffold	na	na	JTFH01000735.1	<>	na	Primary Assembly	1213	na
decoy00926	unplaced-scaffold	na	na	JTFH01000736.1	<>	na	Primary Assembly	1212	na
decoy00927	unplaced-scaffold	na	na	JTFH01000737.1	<>	na	Primary Assembly	1209	na
decoy00929	unplaced-scaffold	na	na	JTFH01000738.1	<>	na	Primary Assembly	1208	na
decoy00931	unplaced-scaffold	na	na	JTFH01000739.1	<>	na	Primary Assembly	1207	na
decoy00932	unplaced-scaffold	na	na	JTFH01000740.1	<>	na	Primary Assembly	1207	na
decoy00933	unplaced-scaffold	na	na	JTFH01000741.1	<>	na	Primary Assembly	1207	na
decoy00934	unplaced-scaffold	na	na	JTFH01000742.1	<>	na	Primary Assembly	1206	na
decoy00935	unplaced-scaffold	na	na	JTFH01000743.1	<>	na	Primary Assembly	1206	na
decoy00936	unplaced-scaffold	na	na	JTFH01000744.1	<>	na	Primary Assembly	1205	na
decoy00937	unplaced-scaffold	na	na	JTFH01000745.1	<>	na	Primary Assembly	1205	na
decoy00939	unplaced-scaffold	na	na	JTFH01000746.1	<>	na	Primary Assembly	1204	na
decoy00940	unplaced-scaffold	na	na	JTFH01000747.1	<>	na	Primary Assembly	1204	na
decoy00941	unplaced-scaffold	na	na	JTFH01000748.1	<>	na	Primary Assembly	1204	na
decoy00942	unplaced-scaffold	na	na	JTFH01000749.1	<>	na	Primary Assembly	1203	na
decoy00943	unplaced-scaffold	na	na	JTFH01000750.1	<>	na	Primary Assembly	1201	na
decoy00944	unplaced-scaffold	na	na	JTFH01000751.1	<>	na	Primary Assembly	1201	na
decoy00945	unplaced-scaffold	na	na	JTFH01000752.1	<>	na	Primary Assembly	1200	na
decoy00946	unplaced-scaffold	na	na	JTFH01000753.1	<>	na	Primary Assembly	1200	na
decoy00947	unplaced-scaffold	na	na	JTFH01000754.1	<>	na	Primary Assembly	1199	na
decoy00948	unplaced-scaffold	na	na	JTFH01000755.1	<>	na	Primary Assembly	1198	na
decoy00949	unplaced-scaffold	na	na	JTFH01000756.1	<>	na	Primary Assembly	1197	na
decoy00950	unplaced-scaffold	na	na	JTFH01000757.1	<>	na	Primary Assembly	1196	na
decoy00951	unplaced-scaffold	na	na	JTFH01000758.1	<>	na	Primary Assembly	1195	na
decoy00952	unplaced-scaffold	na	na	JTFH01000759.1	<>	na	Primary Assembly	1194	na
decoy00953	unplaced-scaffold	na	na	JTFH01000760.1	<>	na	Primary Assembly	1194	na
decoy00954	unplaced-scaffold	na	na	JTFH01000761.1	<>	na	Primary Assembly	1191	na
decoy00955	unplaced-scaffold	na	na	JTFH01000762.1	<>	na	Primary Assembly	1189	na
decoy00956	unplaced-scaffold	na	na	JTFH01000763.1	<>	na	Primary Assembly	1186	na
decoy00957	unplaced-scaffold	na	na	JTFH01000764.1	<>	na	Primary Assembly	1186	na
decoy00959	unplaced-scaffold	na	na	JTFH01000765.1	<>	na	Primary Assembly	1184	na
decoy00961	unplaced-scaffold	na	na	JTFH01000766.1	<>	na	Primary Assembly	1183	na
decoy00962	unplaced-scaffold	na	na	JTFH01000767.1	<>	na	Primary Assembly	1183	na
decoy00963	unplaced-scaffold	na	na	JTFH01000768.1	<>	na	Primary Assembly	1182	na
decoy00964	unplaced-scaffold	na	na	JTFH01000769.1	<>	na	Primary Assembly	1181	na
decoy00965	unplaced-scaffold	na	na	JTFH01000770.1	<>	na	Primary Assembly	1181	na
decoy00966	unplaced-scaffold	na	na	JTFH01000771.1	<>	na	Primary Assembly	1181	na
decoy00968	unplaced-scaffold	na	na	JTFH01000772.1	<>	na	Primary Assembly	1181	na
decoy00969	unplaced-scaffold	na	na	JTFH01000773.1	<>	na	Primary Assembly	1179	na
decoy00970	unplaced-scaffold	na	na	JTFH01000774.1	<>	na	Primary Assembly	1178	na
decoy00971	unplaced-scaffold	na	na	JTFH01000775.1	<>	na	Primary Assembly	1178	na
decoy00972	unplaced-scaffold	na	na	JTFH01000776.1	<>	na	Primary Assembly	1177	na
decoy00973	unplaced-scaffold	na	na	JTFH01000777.1	<>	na	Primary Assembly	1177	na
decoy00975	unplaced-scaffold	na	na	JTFH01000778.1	<>	na	Primary Assembly	1171	na
decoy00976	unplaced-scaffold	na	na	JTFH01000779.1	<>	na	Primary Assembly	1171	na
decoy00977	unplaced-scaffold	na	na	JTFH01000780.1	<>	na	Primary Assembly	1171	na
decoy00978	unplaced-scaffold	na	na	JTFH01000781.1	<>	na	Primary Assembly	1170	na
decoy00979	unplaced-scaffold	na	na	JTFH01000782.1	<>	na	Primary Assembly	1170	na
decoy00980	unplaced-scaffold	na	na	JTFH01000783.1	<>	na	Primary Assembly	1167	na
decoy00981	unplaced-scaffold	na	na	JTFH01000784.1	<>	na	Primary Assembly	1167	na
decoy00982	unplaced-scaffold	na	na	JTFH01000785.1	<>	na	Primary Assembly	1167	na
decoy00983	unplaced-scaffold	na	na	JTFH01000786.1	<>	na	Primary Assembly	1165	na
decoy00984	unplaced-scaffold	na	na	JTFH01000787.1	<>	na	Primary Assembly	1165	na
decoy00985	unplaced-scaffold	na	na	JTFH01000788.1	<>	na	Primary Assembly	1162	na
decoy00987	unplaced-scaffold	na	na	JTFH01000789.1	<>	na	Primary Assembly	1157	na
decoy00988	unplaced-scaffold	na	na	JTFH01000790.1	<>	na	Primary Assembly	1156	na
decoy00989	unplaced-scaffold	na	na	JTFH01000791.1	<>	na	Primary Assembly	1156	na
decoy00990	unplaced-scaffold	na	na	JTFH01000792.1	<>	na	Primary Assembly	1154	na
decoy00991	unplaced-scaffold	na	na	JTFH01000793.1	<>	na	Primary Assembly	1154	na
decoy00992	unplaced-scaffold	na	na	JTFH01000794.1	<>	na	Primary Assembly	1151	na
decoy00993	unplaced-scaffold	na	na	JTFH01000795.1	<>	na	Primary Assembly	1151	na
decoy00994	unplaced-scaffold	na	na	JTFH01000796.1	<>	na	Primary Assembly	1150	na
decoy00995	unplaced-scaffold	na	na	JTFH01000797.1	<>	na	Primary Assembly	1150	na
decoy00996	unplaced-scaffold	na	na	JTFH01000798.1	<>	na	Primary Assembly	1147	na
decoy00997	unplaced-scaffold	na	na	JTFH01000799.1	<>	na	Primary Assembly	1147	na
decoy00998	unplaced-scaffold	na	na	JTFH01000800.1	<>	na	Primary Assembly	1146	na
decoy00999	unplaced-scaffold	na	na	JTFH01000801.1	<>	na	Primary Assembly	1144	na
decoy01000	unplaced-scaffold	na	na	JTFH01000802.1	<>	na	Primary Assembly	1144	na
decoy01001	unplaced-scaffold	na	na	JTFH01000803.1	<>	na	Primary Assembly	1143	na
decoy01002	unplaced-scaffold	na	na	JTFH01000804.1	<>	na	Primary Assembly	1142	na
decoy01003	unplaced-scaffold	na	na	JTFH01000805.1	<>	na	Primary Assembly	1141	na
decoy01004	unplaced-scaffold	na	na	JTFH01000806.1	<>	na	Primary Assembly	1141	na
decoy01005	unplaced-scaffold	na	na	JTFH01000807.1	<>	na	Primary Assembly	1140	na
decoy01006	unplaced-scaffold	na	na	JTFH01000808.1	<>	na	Primary Assembly	1138	na
decoy01008	unplaced-scaffold	na	na	JTFH01000809.1	<>	na	Primary Assembly	1134	na
decoy01009	unplaced-scaffold	na	na	JTFH01000810.1	<>	na	Primary Assembly	1134	na
decoy01010	unplaced-scaffold	na	na	JTFH01000811.1	<>	na	Primary Assembly	1132	na
decoy01011	unplaced-scaffold	na	na	JTFH01000812.1	<>	na	Primary Assembly	1131	na
decoy01012	unplaced-scaffold	na	na	JTFH01000813.1	<>	na	Primary Assembly	1131	na
decoy01014	unplaced-scaffold	na	na	JTFH01000814.1	<>	na	Primary Assembly	1130	na
decoy01016	unplaced-scaffold	na	na	JTFH01000815.1	<>	na	Primary Assembly	1127	na
decoy01017	unplaced-scaffold	na	na	JTFH01000816.1	<>	na	Primary Assembly	1126	na
decoy01018	unplaced-scaffold	na	na	JTFH01000817.1	<>	na	Primary Assembly	1124	na
decoy01020	unplaced-scaffold	na	na	JTFH01000818.1	<>	na	Primary Assembly	1122	na
decoy01021	unplaced-scaffold	na	na	JTFH01000819.1	<>	na	Primary Assembly	1122	na
decoy01022	unplaced-scaffold	na	na	JTFH01000820.1	<>	na	Primary Assembly	1121	na
decoy01024	unplaced-scaffold	na	na	JTFH01000821.1	<>	na	Primary Assembly	1119	na
decoy01025	unplaced-scaffold	na	na	JTFH01000822.1	<>	na	Primary Assembly	1119	na
decoy01026	unplaced-scaffold	na	na	JTFH01000823.1	<>	na	Primary Assembly	1119	na
decoy01027	unplaced-scaffold	na	na	JTFH01000824.1	<>	na	Primary Assembly	1119	na
decoy01028	unplaced-scaffold	na	na	JTFH01000825.1	<>	na	Primary Assembly	1118	na
decoy01030	unplaced-scaffold	na	na	JTFH01000826.1	<>	na	Primary Assembly	1116	na
decoy01031	unplaced-scaffold	na	na	JTFH01000827.1	<>	na	Primary Assembly	1116	na
decoy01032	unplaced-scaffold	na	na	JTFH01000828.1	<>	na	Primary Assembly	1115	na
decoy01033	unplaced-scaffold	na	na	JTFH01000829.1	<>	na	Primary Assembly	1115	na
decoy01034	unplaced-scaffold	na	na	JTFH01000830.1	<>	na	Primary Assembly	1115	na
decoy01035	unplaced-scaffold	na	na	JTFH01000831.1	<>	na	Primary Assembly	1114	na
decoy01036	unplaced-scaffold	na	na	JTFH01000832.1	<>	na	Primary Assembly	1113	na
decoy01037	unplaced-scaffold	na	na	JTFH01000833.1	<>	na	Primary Assembly	1113	na
decoy01038	unplaced-scaffold	na	na	JTFH01000834.1	<>	na	Primary Assembly	1110	na
decoy01039	unplaced-scaffold	na	na	JTFH01000835.1	<>	na	Primary Assembly	1110	na
decoy01040	unplaced-scaffold	na	na	JTFH01000836.1	<>	na	Primary Assembly	1109	na
decoy01041	unplaced-scaffold	na	na	JTFH01000837.1	<>	na	Primary Assembly	1108	na
decoy01042	unplaced-scaffold	na	na	JTFH01000838.1	<>	na	Primary Assembly	1107	na
decoy01043	unplaced-scaffold	na	na	JTFH01000839.1	<>	na	Primary Assembly	1107	na
decoy01044	unplaced-scaffold	na	na	JTFH01000840.1	<>	na	Primary Assembly	1107	na
decoy01045	unplaced-scaffold	na	na	JTFH01000841.1	<>	na	Primary Assembly	1107	na
decoy01046	unplaced-scaffold	na	na	JTFH01000842.1	<>	na	Primary Assembly	1106	na
decoy01047	unplaced-scaffold	na	na	JTFH01000843.1	<>	na	Primary Assembly	1103	na
decoy01048	unplaced-scaffold	na	na	JTFH01000844.1	<>	na	Primary Assembly	1103	na
decoy01049	unplaced-scaffold	na	na	JTFH01000845.1	<>	na	Primary Assembly	1103	na
decoy01052	unplaced-scaffold	na	na	JTFH01000846.1	<>	na	Primary Assembly	1100	na
decoy01053	unplaced-scaffold	na	na	JTFH01000847.1	<>	na	Primary Assembly	1099	na
decoy01054	unplaced-scaffold	na	na	JTFH01000848.1	<>	na	Primary Assembly	1098	na
decoy01056	unplaced-scaffold	na	na	JTFH01000849.1	<>	na	Primary Assembly	1097	na
decoy01057	unplaced-scaffold	na	na	JTFH01000850.1	<>	na	Primary Assembly	1096	na
decoy01058	unplaced-scaffold	na	na	JTFH01000851.1	<>	na	Primary Assembly	1096	na
decoy01060	unplaced-scaffold	na	na	JTFH01000852.1	<>	na	Primary Assembly	1094	na
decoy01061	unplaced-scaffold	na	na	JTFH01000853.1	<>	na	Primary Assembly	1093	na
decoy01063	unplaced-scaffold	na	na	JTFH01000854.1	<>	na	Primary Assembly	1090	na
decoy01064	unplaced-scaffold	na	na	JTFH01000855.1	<>	na	Primary Assembly	1088	na
decoy01065	unplaced-scaffold	na	na	JTFH01000856.1	<>	na	Primary Assembly	1087	na
decoy01067	unplaced-scaffold	na	na	JTFH01000857.1	<>	na	Primary Assembly	1086	na
decoy01068	unplaced-scaffold	na	na	JTFH01000858.1	<>	na	Primary Assembly	1085	na
decoy01069	unplaced-scaffold	na	na	JTFH01000859.1	<>	na	Primary Assembly	1084	na
